Column1,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
0,0,-,2,0,0,0.00,5,caught,2,v Pakistan,Gujranwala,18-12-1989,ODI # 593
1,0,2,2,0,0,0.00,5,caught,2,v New Zealand,Dunedin,01-03-1990,ODI # 612
2,36,51,39,5,0,92.30,6,caught,1,v New Zealand,Wellington,06-03-1990,ODI # 616
3,10,-,12,0,0,83.33,5,run out,1,v Sri Lanka,Sharjah,25-04-1990,ODI # 623
4,20,-,25,1,0,80.00,7,caught,2,v Pakistan,Sharjah,27-04-1990,ODI # 625
5,19,38,35,1,1,54.28,4,bowled,2,v England,Leeds,18-07-1990,ODI # 634
6,31,31,26,3,0,119.23,6,bowled,2,v England,Nottingham,20-07-1990,ODI # 635
7,36,-,22,3,2,163.63,5,bowled,1,v Sri Lanka,Nagpur,01-12-1990,ODI # 644
8,53,-,41,7,1,129.26,5,bowled,2,v Sri Lanka,Pune,05-12-1990,ODI # 646
9,30,-,29,1,2,103.44,5,caught,1,v Sri Lanka,Margao,08-12-1990,ODI # 648
10,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Chandigarh,25-12-1990,ODI # 657
11,4,-,11,0,0,36.36,5,lbw,2,v Sri Lanka,Cuttack,28-12-1990,ODI # 658
12,53,-,70,2,0,75.71,4,lbw,2,v Sri Lanka,Eden Gardens,04-01-1991,ODI # 661
13,52*,-,40,5,0,130.00,5,not out,1,v Pakistan,Sharjah,18-10-1991,ODI # 680
14,22,-,27,3,0,81.48,5,run out,1,v West Indies,Sharjah,19-10-1991,ODI # 681
15,11*,-,27,1,0,40.74,5,not out,2,v West Indies,Sharjah,22-10-1991,ODI # 683
16,49,-,38,3,2,128.94,5,caught,2,v Pakistan,Sharjah,23-10-1991,ODI # 684
17,0,-,1,0,0,0.00,5,lbw,2,v Pakistan,Sharjah,25-10-1991,ODI # 685
18,62,-,73,8,1,84.93,4,caught,2,v South Africa,Eden Gardens,10-11-1991,ODI # 686
19,4,-,8,0,0,50.00,4,caught,1,v South Africa,Gwalior,12-11-1991,ODI # 687
20,1,-,3,0,0,33.33,4,caught,1,v South Africa,New Delhi,14-11-1991,ODI # 688
21,1,14,9,0,0,11.11,4,caught,1,v West Indies,Perth,06-12-1991,ODI # 692
22,36,79,65,3,0,55.38,4,caught,1,v Australia,Perth,08-12-1991,ODI # 693
23,57,111,107,3,0,53.27,4,caught,1,v Australia,Hobart,10-12-1991,ODI # 694
24,48,62,57,2,0,84.21,4,caught,1,v West Indies,Adelaide,14-12-1991,ODI # 696
25,21,38,35,3,0,60.00,4,caught,1,v Australia,Adelaide,15-12-1991,ODI # 697
26,77,157,127,5,0,60.62,4,caught,1,v West Indies,Brisbane,11-01-1992,ODI # 702
27,31,64,44,1,0,70.45,5,run out,1,v Australia,Sydney,14-01-1992,ODI # 705
28,57*,118,88,2,0,64.77,4,not out,2,v West Indies,Melbourne,16-01-1992,ODI # 707
29,4,12,10,0,0,40.00,4,caught,2,v Australia,Melbourne,18-01-1992,ODI # 709
30,69,116,100,3,0,69.00,4,caught,2,v Australia,Sydney,20-01-1992,ODI # 711
31,35,51,44,5,0,79.54,4,caught,2,v England,Perth,22-02-1992,ODI # 715
32,DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Mackay,28-02-1992,ODI # 722
33,11,19,19,1,0,57.89,4,caught,2,v Australia,Brisbane,01-03-1992,ODI # 725
34,54*,91,62,3,0,87.09,5,not out,1,v Pakistan,Sydney,04-03-1992,ODI # 729
35,81,88,77,8,1,105.19,4,caught,1,v Zimbabwe,Hamilton,07-03-1992,ODI # 732
36,4,11,11,0,0,36.36,4,caught,1,v West Indies,Wellington,10-03-1992,ODI # 737
